BLGH_06208   avenae   0
BLGH_06208   dactylis   2
BLGH_06208   dicocci   3
BLGH_06208   hordei   1
BLGH_06208   lolium   0
BLGH_06208   poa   0
BLGH_06208   secalis   1
BLGH_06208   triticale   4
BLGH_06208   tritici   4
BLGH_06893   avenae   0
BLGH_06893   dactylis   0
BLGH_06893   dicocci   0
BLGH_06893   hordei   1
BLGH_06893   lolium   0
BLGH_06893   poa   0
BLGH_06893   secalis   5
BLGH_06893   triticale   4
BLGH_06893   tritici   0
BLGH_04103   avenae   5
BLGH_04103   dactylis   1
BLGH_04103   dicocci   1
BLGH_04103   hordei   1
BLGH_04103   lolium   4
BLGH_04103   poa   0
BLGH_04103   secalis   1
BLGH_04103   triticale   1
BLGH_04103   tritici   1
BLGH_01670   avenae   0
BLGH_01670   dactylis   1
BLGH_01670   dicocci   1
BLGH_01670   hordei   2
BLGH_01670   lolium   2
BLGH_01670   poa   3
BLGH_01670   secalis   1
BLGH_01670   triticale   1
BLGH_01670   tritici   1
BLGH_01965   avenae   2
BLGH_01965   dactylis   1
BLGH_01965   dicocci   1
BLGH_01965   hordei   1
BLGH_01965   lolium   3
BLGH_01965   poa   1
BLGH_01965   secalis   1
BLGH_01965   triticale   1
BLGH_01965   tritici   1
BLGH_02744   avenae   3
BLGH_02744   dactylis   2
BLGH_02744   dicocci   2
BLGH_02744   hordei   1
BLGH_02744   lolium   1
BLGH_02744   poa   0
BLGH_02744   secalis   2
BLGH_02744   triticale   2
BLGH_02744   tritici   1
BLGH_02953   avenae   0
BLGH_02953   dactylis   4
BLGH_02953   dicocci   1
BLGH_02953   hordei   1
BLGH_02953   lolium   0
BLGH_02953   poa   0
BLGH_02953   secalis   1
BLGH_02953   triticale   1
BLGH_02953   tritici   1
BLGH_03222   avenae   0
BLGH_03222   dactylis   1
BLGH_03222   dicocci   1
BLGH_03222   hordei   1
BLGH_03222   lolium   0
BLGH_03222   poa   0
BLGH_03222   secalis   2
BLGH_03222   triticale   2
BLGH_03222   tritici   3
BLGH_04691   avenae   0
BLGH_04691   dactylis   1
BLGH_04691   dicocci   1
BLGH_04691   hordei   1
BLGH_04691   lolium   0
BLGH_04691   poa   0
BLGH_04691   secalis   1
BLGH_04691   triticale   3
BLGH_04691   tritici   3
BLGH_04781   avenae   0
BLGH_04781   dactylis   0
BLGH_04781   dicocci   0
BLGH_04781   hordei   3
BLGH_04781   lolium   0
BLGH_04781   poa   0
BLGH_04781   secalis   1
BLGH_04781   triticale   0
BLGH_04781   tritici   0
BLGH_04782   avenae   0
BLGH_04782   dactylis   0
BLGH_04782   dicocci   0
BLGH_04782   hordei   3
BLGH_04782   lolium   0
BLGH_04782   poa   0
BLGH_04782   secalis   1
BLGH_04782   triticale   0
BLGH_04782   tritici   0
BLGH_05509   avenae   0
BLGH_05509   dactylis   1
BLGH_05509   dicocci   2
BLGH_05509   hordei   1
BLGH_05509   lolium   0
BLGH_05509   poa   0
BLGH_05509   secalis   1
BLGH_05509   triticale   2
BLGH_05509   tritici   3
BLGH_05511   avenae   0
BLGH_05511   dactylis   1
BLGH_05511   dicocci   2
BLGH_05511   hordei   1
BLGH_05511   lolium   0
BLGH_05511   poa   0
BLGH_05511   secalis   1
BLGH_05511   triticale   2
BLGH_05511   tritici   3
BLGH_05647   avenae   0
BLGH_05647   dactylis   0
BLGH_05647   dicocci   3
BLGH_05647   hordei   1
BLGH_05647   lolium   1
BLGH_05647   poa   0
BLGH_05647   secalis   1
BLGH_05647   triticale   1
BLGH_05647   tritici   1
BLGH_05669   avenae   0
